datetime,open,high,low,close,volume,symbol,ma_5,ma_10,ma_20
2022-07-14,144.08,148.95,143.25,148.47,78140700,AAPL,,,
2022-07-15,149.78,150.86,148.2,150.17,76259900,AAPL,,,
2022-07-18,150.74001,151.57001,146.7,147.07001,81420900,AAPL,,,
2022-07-19,147.92,151.23,146.91,151.0,82982400,AAPL,,,
2022-07-20,151.12,153.72,150.37,153.03999,64823400,AAPL,149.95,,
2022-07-21,154.5,155.57001,151.94,155.35001,65086600,AAPL,151.326002,,
2022-07-22,155.39,156.28,153.41,154.09,66675400,AAPL,152.11000199999998,,
2022-07-25,154.00999,155.03999,152.28,152.95,53623900,AAPL,153.286,,
2022-07-26,152.25999,153.09,150.8,151.60001,55138700,AAPL,153.406002,,
2022-07-27,152.58,157.33,152.16,156.78999,78620700,AAPL,154.156002,152.053001,
2022-07-28,156.98,157.64,154.41,157.35001,81378700,AAPL,154.55600199999998,152.94100199999997,
2022-07-29,161.24001,163.63,159.5,162.50999,101786900,AAPL,156.24,154.17500099999998,
2022-08-01,161.00999,163.59,160.89,161.50999,67829400,AAPL,157.951998,155.61899899999997,
2022-08-02,160.10001,162.41,159.63,160.00999,59907000,AAPL,159.63399399999997,156.519998,
2022-08-03,160.84,166.59,160.75,166.13,82507500,AAPL,161.501996,157.828999,
2022-08-04,166.00999,167.19,164.42999,165.81,55474100,AAPL,163.193994,158.874998,
2022-08-05,163.21001,165.85001,163.0,165.35001,56697000,AAPL,163.761998,160.00099899999998,
2022-08-08,166.37,167.81,164.2,164.87,60276900,AAPL,164.434,161.192999,
2022-08-09,164.02,165.82001,163.25,164.92,63135500,AAPL,165.416002,162.524998,
2022-08-10,167.67999,169.34,166.89999,169.24001,70170500,AAPL,166.038004,163.77,157.9115005
2022-08-11,170.06,170.99001,168.19,168.49001,57149200,AAPL,166.574006,164.88400000000001,158.912501
2022-08-12,169.82001,172.17,169.39999,172.10001,68039400,AAPL,167.92400600000002,165.843002,160.0090015
2022-08-15,171.52,173.39,171.35001,173.19,54091700,AAPL,169.588006,167.01100300000002,161.315001
2022-08-16,172.78,173.71001,171.66,173.03,56377100,AAPL,171.210006,168.313004,162.416501
2022-08-17,172.77,176.14999,172.57001,174.55,79542000,AAPL,172.272004,169.155004,163.4920015
2022-08-18,173.75,174.89999,173.12,174.14999,62290100,AAPL,173.40400000000002,169.989003,164.4320005
2022-08-19,173.03,173.74001,171.31,171.52,70346300,AAPL,173.28799800000002,170.60600200000002,165.3035005
2022-08-22,169.69,169.86,167.14,167.57001,69026800,AAPL,172.16400000000002,170.876003,166.034501
2022-08-23,167.08,168.71001,166.64999,167.23,54147100,AAPL,171.004,171.107003,166.8160005
2022-08-24,167.32001,168.11,166.25,167.53,53841500,AAPL,169.6,170.93600199999997,167.353001
2022-08-25,168.78,170.14,168.35001,170.03,51218200,AAPL,168.776002,171.09000099999997,167.9870005
2022-08-26,170.57001,171.05,163.56,163.62,78961000,AAPL,167.196002,170.24200000000002,168.042501
2022-08-29,161.14999,162.89999,159.82001,161.38,73314000,AAPL,165.958,169.061,168.0360015
2022-08-30,162.13,162.56,157.72,158.91,77906200,AAPL,164.29399999999998,167.649,167.981002
2022-08-31,160.31,160.58,157.14,157.22,87991100,AAPL,162.232,165.916,167.535502
2022-09-01,156.64,158.42,154.67,157.96001,74229900,AAPL,159.818002,164.297002,167.14300250000002
2022-09-02,159.75,160.36,154.97,155.81,76957800,AAPL,158.256002,162.726002,166.666002
2022-09-06,156.47,157.09,153.69,154.53,73714800,AAPL,156.88600200000002,161.422001,166.14900200000002
2022-09-07,154.82001,156.67,153.61,155.96001,87449600,AAPL,156.296004,160.295002,165.70100250000002
2022-09-08,154.64,156.36,152.67999,154.46001,84923800,AAPL,155.744006,158.988003,164.9620025
2022-09-09,155.47,157.82001,154.75,157.37,68028800,AAPL,155.62600400000002,157.72200300000003,164.406002
2022-09-12,159.59,164.25999,159.3,163.42999,104956000,AAPL,157.15000200000003,157.70300200000003,163.97250100000002
2022-09-13,159.89999,160.53999,153.37,153.84,122656600,AAPL,157.012002,156.949002,163.005001
2022-09-14,154.78999,157.10001,153.61,155.31,87965400,AAPL,156.882,156.589002,162.119001
2022-09-15,154.64999,155.24001,151.38,152.37,90481100,AAPL,156.463998,156.104002,161.01000100000002
2022-09-16,151.21001,151.35001,148.37,150.7,162278800,AAPL,155.129998,155.37800099999998,159.8375015
2022-09-19,149.31,154.56,149.10001,154.48,81474200,AAPL,153.34,155.245001,158.9855015
2022-09-20,153.39999,158.08,153.08,156.89999,107689800,AAPL,153.951998,155.48200000000003,158.4520005
2022-09-21,157.34,158.74001,153.60001,153.72,101696800,AAPL,153.633998,155.257999,157.7765005
2022-09-22,152.38,154.47,150.91,152.74001,86652500,AAPL,153.708,155.08599900000002,157.037001
2022-09-23,151.19,151.47,148.56,150.42999,96029900,AAPL,153.653998,154.391998,156.05700050000002
2022-09-26,149.66,153.77,149.64,150.77,93339400,AAPL,152.91199799999998,153.125999,155.4145005
2022-09-27,152.74001,154.72,149.95,151.75999,84442700,AAPL,151.88399800000002,152.91799799999998,154.9335
2022-09-28,147.64,150.64,144.84,149.84,146691400,AAPL,151.107998,152.37099800000001,154.48
2022-09-29,146.10001,146.72,140.67999,142.48,128138200,AAPL,149.055996,151.381998,153.743
2022-09-30,141.28,143.10001,138.0,138.2,124925300,AAPL,146.609998,150.131998,152.7549995
2022-10-03,138.21001,143.07001,137.69,142.45,114311700,AAPL,144.94599799999997,148.928998,152.0869995
2022-10-04,145.03,146.22,144.25999,146.10001,87830100,AAPL,143.814002,147.849,151.6655
2022-10-05,144.07001,147.38,143.00999,146.39999,79471000,AAPL,143.126,147.116999,151.187499
2022-10-06,145.81,147.53999,145.22,145.42999,68402200,AAPL,143.71599799999998,146.385997,150.735998
2022-10-07,142.53999,143.10001,139.45,140.09,85925600,AAPL,144.093998,145.351998,149.87199800000002
2022-10-10,140.42,141.89,138.57001,140.42,74899000,AAPL,143.68799800000002,144.316998,148.7214985
2022-10-11,139.89999,141.35001,138.22,138.98,77033700,AAPL,142.263996,143.03899900000002,147.9784985
2022-10-12,139.13,140.36,138.16,138.34,70433700,AAPL,140.651998,141.88899899999998,147.1299985
2022-10-13,134.99001,143.59,134.37,142.99001,113224000,AAPL,140.16400199999998,141.94,146.660999
2022-10-14,144.31,144.52,138.19,138.38,88598000,AAPL,139.822002,141.95800000000003,146.04499900000002
2022-10-17,141.07001,142.89999,140.27,142.41,85250900,AAPL,140.22000200000002,141.954,145.441499
2022-10-18,145.49001,146.7,140.61,143.75,99136600,AAPL,141.17400200000003,141.718999,144.7839995
2022-10-19,141.69,144.95,141.5,143.86,61758300,AAPL,142.27800200000001,141.465,144.2909995
2022-10-20,143.02,145.89,142.64999,143.39,64522000,AAPL,142.358,141.261001,143.823499
2022-10-21,142.87,147.85001,142.64999,147.27,86548600,AAPL,144.13600000000002,141.97900099999998,143.66549949999998
2022-10-24,147.19,150.23,146.0,149.45,75981900,AAPL,145.54399999999998,142.882001,143.5994995
2022-10-25,150.09,152.49001,149.36,152.34,74732300,AAPL,147.262,144.21800100000002,143.62849999999997
2022-10-26,150.96001,151.99001,148.03999,149.35001,88194300,AAPL,148.360002,145.319002,143.6040005
2022-10-27,148.07001,149.05,144.13,144.8,109180200,AAPL,148.642002,145.500001,143.72000050000003
2022-10-28,148.2,157.5,147.82001,155.74001,164762400,AAPL,150.336004,147.23600199999998,144.597001
2022-10-31,153.16,154.24001,151.92,153.34,97943200,AAPL,151.11400400000002,148.329002,145.141501
2022-11-01,155.08,155.45,149.13,150.64999,80379300,AAPL,150.776002,149.019001,145.369
2022-11-02,148.95,152.17,145.0,145.03,93604600,AAPL,149.912,149.136001,145.3005005
2022-11-03,142.06,142.8,138.75,138.88,97918500,AAPL,148.728,148.685001,144.973001
2022-11-04,142.09,142.67,134.38,138.38,140814800,AAPL,145.255998,147.796001,144.887501
2022-11-07,137.11,139.14999,135.67,138.92,83374600,AAPL,142.37199800000002,146.743001,144.81250100000003
2022-11-08,140.41,141.42999,137.49001,139.5,89908500,AAPL,140.142,145.459001,144.838501
2022-11-09,138.5,138.55,134.59,134.87,74917800,AAPL,138.10999999999999,144.01100000000002,144.66500100000002
2022-11-10,141.24001,146.87,139.5,146.87,118854000,AAPL,139.708,144.21800000000002,144.8590005
2022-11-11,145.82001,150.00999,144.37,149.7,93979700,AAPL,141.97199999999998,143.613999,145.42500049999998
2022-11-14,148.97,150.28,147.42999,148.28,73374100,AAPL,143.844,143.107999,145.7185005
2022-11-15,152.22,153.59,148.56,150.03999,89868300,AAPL,145.951998,143.046999,146.033
2022-11-16,149.13,149.87,147.28999,148.78999,64218300,AAPL,148.735996,143.422998,146.2794995
2022-11-17,146.42999,151.48,146.14999,150.72,80389400,AAPL,149.505996,144.606998,146.6459995
2022-11-18,152.31,152.7,149.97,151.28999,74829600,AAPL,149.823994,145.897997,146.846999
2022-11-21,150.16,150.37,147.72,148.00999,58724100,AAPL,149.76999199999997,146.806996,146.77499849999998
2022-11-22,148.13,150.42,146.92999,150.17999,51804100,AAPL,149.79799199999997,147.87499499999998,146.666998
2022-11-23,149.45,151.83,149.34,151.07001,58301400,AAPL,150.25399599999997,149.49499600000001,146.752998
2022-11-25,148.31,148.88,147.12,148.11,35195900,AAPL,149.731996,149.61899599999998,146.918498
2022-11-28,145.14,146.64,143.38,144.22,69246000,AAPL,148.317998,149.07099599999998,146.34249749999998
2022-11-29,144.28999,144.81,140.35001,141.17,83763800,AAPL,146.95,148.359996,145.73399750000002
2022-11-30,141.39999,148.72,140.55,148.03,111380900,AAPL,146.52000199999998,148.158997,145.60299799999999
2022-12-01,148.21001,149.13,146.61,148.31,71250400,AAPL,145.96800000000002,148.110998,145.766998
2022-12-02,145.96001,148.0,145.64999,147.81,65447400,AAPL,145.908,147.819998,146.21349800000002
2022-12-05,147.77,150.92,145.77,146.63,68826400,AAPL,146.39000000000001,147.353999,146.62599799999998
2022-12-06,147.07001,147.3,141.92,142.91,64727200,AAPL,146.738,146.844,146.82549799999998
2022-12-07,142.19,143.37,140.0,140.94,69721100,AAPL,145.32,145.920001,146.897498
2022-12-08,142.36,143.52,141.10001,142.64999,62128300,AAPL,144.187998,145.077999,147.2864975
2022-12-09,142.34,145.57001,140.89999,142.16,76097000,AAPL,143.057998,144.482999,147.0509975
2022-12-12,142.7,144.5,141.06,144.49001,70462700,AAPL,142.63000000000002,144.51,146.790498
2022-12-13,149.5,149.97,144.24001,145.47,93886200,AAPL,143.142,144.94,146.649998
2022-12-14,145.35001,146.66,141.16,143.21001,82291200,AAPL,143.596002,144.458001,146.308499
2022-12-15,141.11,141.8,136.03,136.5,98931900,AAPL,142.36600400000003,143.27700099999998,145.6939995
2022-12-16,136.69,137.64999,133.73,134.50999,160156900,AAPL,140.83600199999998,141.947,144.883499
2022-12-19,135.11,135.2,131.32001,132.37,79592600,AAPL,138.41199999999998,140.52100000000002,143.9374995
2022-12-20,131.39,133.25,129.89,132.3,77432800,AAPL,135.778,139.46,143.152
2022-12-21,132.98,136.81,132.75,135.45,85928000,AAPL,134.225998,138.911,142.41550049999998
2022-12-22,134.35001,134.56,130.3,132.23,77852100,AAPL,133.371998,137.86900099999997,141.4735
2022-12-23,130.92,132.42,129.64,131.86,63814900,AAPL,132.842,136.839001,140.661
2022-12-27,131.38,131.41,128.72,130.03,69007800,AAPL,132.374,135.393,139.9515
2022-12-28,129.67,131.03,125.87,126.04,85438400,AAPL,131.122,133.45,139.195
2022-12-29,127.99,130.48,127.73,129.61,75703700,AAPL,129.954,132.089999,138.274
2022-12-30,128.41,129.95,127.43,129.92999,77034200,AAPL,129.493998,131.432998,137.35499950000002
2023-01-03,130.28,130.89999,124.17,125.07,112117500,AAPL,128.135998,130.488999,136.2179995
2023-01-04,126.89,128.66,125.08,126.36,89113600,AAPL,127.401998,129.88799899999998,135.20449950000003
2023-01-05,127.13,127.77,124.76,125.02,80962700,AAPL,127.19799800000001,129.159999,134.3099995
2023-01-06,126.01,130.28999,124.89,129.62,87754700,AAPL,127.19999800000001,128.576999,133.7439995
2023-01-09,130.47,133.41,129.89,130.14999,70790800,AAPL,127.243998,128.368998,133.1189995
2023-01-10,130.25999,131.25999,128.12,130.73,63896200,AAPL,128.37599799999998,128.255998,132.54749950000001
2023-01-11,131.25,133.50999,130.46001,133.49001,69458900,AAPL,129.802,128.601999,131.9974995
2023-01-12,133.88,134.25999,131.44,133.41,71379600,AAPL,131.48,129.338999,131.3944995
2023-01-13,132.03,134.92,131.66,134.75999,57809700,AAPL,132.507998,129.853998,130.97199849999998
2023-01-17,134.83,137.28999,134.13,135.94,63646600,AAPL,133.666,130.454999,130.9439985
2023-01-18,136.82001,138.61,135.03,135.21001,69672800,AAPL,134.56200199999998,131.469,130.97899950000001
2023-01-19,134.08,136.25,133.77,135.27,58280400,AAPL,134.91799999999998,132.35999999999999,131.12399950000002
2023-01-20,135.28,138.02,134.22,137.87,80223600,AAPL,135.81,133.645,131.4024995
2023-01-23,138.12,143.32001,137.89999,141.11,81760300,AAPL,137.080002,134.794,131.68549950000002
2023-01-24,140.31,143.16,140.3,142.53,66435100,AAPL,138.39800200000002,136.032001,132.2004995
